case_id,changed_voxels_vs_standard_nnunet,dice_delta_vs_standard_nnunet,help_harm,pathology,seed,variant,evidence_source
Case1045,3501,0.11220383715184064,help,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1047,0,,identity,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1047,12547,-0.4182704163226244,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1053,0,,identity,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1053,5528,-0.4139976951120035,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1062,0,,identity,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1062,15102,-0.29317861130047895,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1070,0,,identity,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1070,9862,-0.4462554644625546,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1073,0,,identity,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1073,7481,-0.14353580576088792,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1080,0,,identity,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1080,5212,-0.4251710099714214,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2002,3350,-0.011817427106115996,harm_or_neutral,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2002,1290,-0.5316075892610359,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2007,1724,0.017746076127766353,help,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2007,823,-0.4658848154820376,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2008,3703,0.32052896431911554,help,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2008,1104,-0.7439503030888757,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2017,2198,-0.00935804321212741,harm_or_neutral,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2017,1276,-0.5178453403833444,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2020,790,-0.11627781076300597,harm_or_neutral,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2020,180,-0.4196185286103542,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2031,2028,-0.2142977386229729,harm_or_neutral,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2031,972,-0.6797479321585957,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2033,2531,-0.1682141543244997,harm_or_neutral,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2033,1154,-0.6423102637340854,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3004,8555,-0.07724359504655975,harm_or_neutral,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3004,6172,-0.5187375864746594,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3011,3834,-0.1813181602655287,harm_or_neutral,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3011,2349,-0.46275106090056906,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3012,8972,-0.09765384933096027,harm_or_neutral,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3012,2632,-0.7108603381337532,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3023,9589,-0.06035383056659652,harm_or_neutral,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3023,5145,-0.5550470105354328,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3026,5060,-0.05035635544628936,harm_or_neutral,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3026,3346,-0.6936348060689612,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3034,7808,-0.381654385418235,harm_or_neutral,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3034,4144,-0.6999155092721091,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3038,10651,-0.14089198633065142,harm_or_neutral,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3038,8053,-0.6303220159207735,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3040,7340,-0.17656858030968275,harm_or_neutral,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3040,2304,-0.8287186572524546,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3044,8014,-0.14365085469338953,harm_or_neutral,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3044,3869,-0.6998080693600947,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case5005,0,,identity,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case5005,3272,-0.43257476294675423,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case6001,0,,identity,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case6001,1862,-0.3829912535171331,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case6010,0,,identity,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case6010,2798,-0.38510350171314367,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case7005,0,,identity,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case7005,492,0.0,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8003,0,,identity,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8003,2547,-0.22958978351137865,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8011,0,,identity,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8011,243,-0.2070812520372475,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8015,0,,identity,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8015,2353,-0.08960147049434491,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8019,0,,identity,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8019,571,-0.20692781109045538,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8021,0,,identity,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8021,833,0.06942889137737962,help,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8022,0,,identity,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8022,2798,-0.37772351050418435,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8023,0,,identity,edema,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8023,1325,-0.09590075259703473,harm_or_neutral,scar,20260723,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1002,0,,identity,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1002,1625,-0.4281854292649345,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1007,0,,identity,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1007,5333,-0.2928336920759434,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1009,0,,identity,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1009,4266,-0.228533793254597,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1010,0,,identity,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1010,2846,-0.3920865173460022,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1021,0,,identity,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1021,2041,-0.4871288633479606,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1023,0,,identity,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1023,4633,-0.43870236048386163,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1029,0,,identity,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1029,5614,-0.009993035665101124,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1033,0,,identity,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1033,7424,-0.46048620516977834,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1040,0,,identity,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1040,3640,-0.22475129212916975,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1042,0,,identity,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1042,1361,-0.3979626120273748,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1045,0,,identity,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1045,706,-0.06980586946475295,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1047,0,,identity,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1047,4626,-0.43896155469195497,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1053,0,,identity,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1053,1174,-0.5010441415278544,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1062,0,,identity,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1062,9733,-0.34561841489585776,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1070,0,,identity,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1070,5842,-0.46391801516143377,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1073,0,,identity,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1073,1931,-0.3114176232849906,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1080,0,,identity,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1080,1518,-0.5841788560637583,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2002,2823,-0.06049955732320639,harm_or_neutral,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2002,1369,-0.20893015426251244,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2007,1344,-0.06734634632739478,harm_or_neutral,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2007,953,-0.15329694599265775,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2008,1661,-0.023549592930969365,harm_or_neutral,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2008,863,-0.3022913541965093,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2017,1783,-0.11068611739332301,harm_or_neutral,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2017,898,-0.08868044515103346,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2020,540,-0.17695311395740715,harm_or_neutral,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2020,187,-0.06198441581805708,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2031,1341,-0.2907130748751454,harm_or_neutral,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2031,1010,-0.5594112209343667,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2033,1262,-0.06250699391995229,harm_or_neutral,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2033,679,-0.047479103308870396,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3004,2984,-0.24441479264422383,harm_or_neutral,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3004,2343,-0.18872674003943873,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3011,2255,-0.14752206381534283,harm_or_neutral,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3011,2232,-0.2027613211041029,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3012,2873,-0.2913659233749425,harm_or_neutral,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3012,2723,-0.44153311322535477,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3023,3196,-0.11616935656492143,harm_or_neutral,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3023,1994,-0.1544265268624696,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3026,5086,-0.21378183821155197,harm_or_neutral,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3026,4977,-0.38617363622018247,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3034,2708,-0.3039355735753548,harm_or_neutral,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3034,2576,-0.19467364305401058,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3038,5111,-0.1522262916124294,harm_or_neutral,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3038,9118,-0.6547605817053076,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3040,3815,-0.20551360796696067,harm_or_neutral,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3040,3461,-0.37586562315439687,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3044,3733,-0.1336577575556694,harm_or_neutral,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case3044,5827,-0.4414157639678889,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case5005,0,,identity,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case5005,2755,-0.5261750379080878,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case6001,0,,identity,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case6001,1383,-0.43769445114140876,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case6010,0,,identity,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case6010,1023,-0.4528320731866191,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case7005,0,,identity,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case7005,38,0.0,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8003,0,,identity,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8003,2222,-0.7126009917387637,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8011,0,,identity,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8011,241,-0.22406639004149378,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8015,0,,identity,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8015,1068,-0.40361243630684057,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8019,0,,identity,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8019,1706,-0.6588021778584392,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8021,0,,identity,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8021,122,0.0,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8022,0,,identity,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8022,1237,-0.6386947108774983,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8023,0,,identity,edema,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case8023,1468,-0.42767663891722807,harm_or_neutral,scar,20260723,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1002,0,,identity,edema,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1002,1338,-0.13252310986484428,harm_or_neutral,scar,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1007,0,,identity,edema,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1007,4679,-0.1743937421506327,harm_or_neutral,scar,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1009,0,,identity,edema,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1009,5357,-0.10296637442182632,harm_or_neutral,scar,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1010,0,,identity,edema,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1010,2418,-0.274057534855063,harm_or_neutral,scar,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1021,0,,identity,edema,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1021,1740,-0.15546583819935045,harm_or_neutral,scar,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1023,0,,identity,edema,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1023,2862,-0.38146858031800507,harm_or_neutral,scar,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1029,0,,identity,edema,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1029,6585,-0.05706089667527728,harm_or_neutral,scar,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1033,0,,identity,edema,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1033,9042,-0.3613929932083571,harm_or_neutral,scar,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1040,0,,identity,edema,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1040,4977,-0.17417977532369971,harm_or_neutral,scar,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1042,0,,identity,edema,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1042,1514,-0.3404441418320851,harm_or_neutral,scar,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1045,0,,identity,edema,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1045,2445,0.14450030318789825,help,scar,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1047,0,,identity,edema,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1047,8362,-0.2839601606997994,harm_or_neutral,scar,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1053,0,,identity,edema,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1053,2916,-0.38203936658937576,harm_or_neutral,scar,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1062,0,,identity,edema,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1062,11879,-0.20440322689013024,harm_or_neutral,scar,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1070,0,,identity,edema,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1070,6967,-0.24440672649744183,harm_or_neutral,scar,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1073,0,,identity,edema,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1073,3522,-0.04695859554044873,harm_or_neutral,scar,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1080,0,,identity,edema,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case1080,1716,-0.4654337716915693,harm_or_neutral,scar,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2002,2243,-0.06591393491531095,harm_or_neutral,edema,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2002,940,-0.2561604206021056,harm_or_neutral,scar,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2007,1091,-0.1543321409293114,harm_or_neutral,edema,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2007,807,-0.16502557096987414,harm_or_neutral,scar,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2008,2305,0.16719000971574755,help,edema,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2008,1493,-0.640571435947651,harm_or_neutral,scar,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2017,1594,-0.09120733508271639,harm_or_neutral,edema,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2017,753,-0.07134693073209186,harm_or_neutral,scar,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
Case2020,631,-0.16618449159316967,harm_or_neutral,edema,20260724,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/help_harm.csv
