checkpoint,checkpoint_step,checkpoint_sha256,case_id,split,metric_name,t2_present,dice,hd95_voxels,exact_hd_voxels,infinite_hd,lesion_recall,gt_component_count,pred_component_count,remote_fp_count_known_bug_old_definition,volume_ratio,empty_gt,empty_pred,nnunet_dice,dice_delta_vs_nnunet,nnunet_hd95_voxels,help_vs_nnunet,harm_vs_nnunet
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case1071,inner_select,scar,0.000000000,0.265054471,7.483314774,11.357816692,False,0.500000000,4,1,0,5.408131952,False,False,0.840672841,-0.575618369,1.000000000,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case1071,inner_select,pure_edema,0.000000000,1.000000000,0.000000000,0.000000000,False,1.000000000,0,0,0,0.000000000,True,True,1.000000000,0.000000000,0.000000000,False,False
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case1071,inner_select,edema_zone,0.000000000,0.000000000,inf,inf,True,0.000000000,4,0,0,0.000000000,False,True,0.840672841,-0.840672841,1.000000000,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case1074,inner_select,scar,0.000000000,0.274797723,27.796581199,35.298725189,False,0.333333333,3,12,0,2.347880612,False,False,0.918871029,-0.644073306,1.000000000,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case1074,inner_select,pure_edema,0.000000000,1.000000000,0.000000000,0.000000000,False,1.000000000,0,0,0,0.000000000,True,True,1.000000000,0.000000000,0.000000000,False,False
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case1074,inner_select,edema_zone,0.000000000,0.000000000,inf,inf,True,0.000000000,3,0,0,0.000000000,False,True,0.918871029,-0.918871029,1.000000000,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case1077,inner_select,scar,0.000000000,0.160764612,12.727922061,17.349351573,False,0.500000000,2,7,0,6.293118856,False,False,0.812690135,-0.651925523,1.000000000,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case1077,inner_select,pure_edema,0.000000000,1.000000000,0.000000000,0.000000000,False,1.000000000,0,0,0,0.000000000,True,True,1.000000000,0.000000000,0.000000000,False,False
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case1077,inner_select,edema_zone,0.000000000,0.000000000,inf,inf,True,0.000000000,2,0,0,0.000000000,False,True,0.812690135,-0.812690135,1.000000000,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2009,inner_select,scar,1.000000000,0.297890659,34.292856399,40.012498047,False,1.000000000,1,2,0,4.139380531,False,False,0.599621928,-0.301731270,4.000000000,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2009,inner_select,pure_edema,1.000000000,0.236245037,5.337911711,10.440306509,False,0.200000000,5,24,0,0.930996714,False,False,0.809383340,-0.573138303,2.000000000,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2009,inner_select,edema_zone,1.000000000,0.578436965,3.741657387,6.324555320,False,1.000000000,1,1,0,1.889560440,False,False,0.787382220,-0.208945255,2.236067977,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2011,inner_select,scar,1.000000000,0.450949894,14.899664426,26.551836095,False,1.000000000,1,1,0,3.231781852,False,False,0.923629399,-0.472679505,1.000000000,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2011,inner_select,pure_edema,1.000000000,0.254467582,6.324555320,166.352036357,False,0.600000000,5,28,0,0.555478980,False,False,0.888108668,-0.633641086,1.000000000,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2011,inner_select,edema_zone,1.000000000,0.725151311,4.472135955,166.352036357,False,1.000000000,1,3,0,1.294753086,False,False,0.936256219,-0.211104908,1.000000000,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2012,inner_select,scar,1.000000000,0.088264300,140.064270962,170.660481659,False,1.000000000,1,10,0,8.197278912,False,False,0.615620214,-0.527355915,5.000000000,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2012,inner_select,pure_edema,1.000000000,0.230547550,147.488174350,161.554944214,False,1.000000000,1,25,0,4.982758621,False,False,0.772300469,-0.541752919,15.000000000,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2012,inner_select,edema_zone,1.000000000,0.237605913,139.814519903,152.118374958,False,1.000000000,1,6,0,5.548996458,False,False,0.730897010,-0.493291097,7.864019761,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2016,inner_select,scar,1.000000000,0.359180649,35.860842154,43.611924975,False,1.000000000,1,4,0,3.761340726,False,False,0.887442093,-0.528261444,1.000000000,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,500,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2016,inner_select,pure_edema,1.000000000,0.217131669,7.000000000,19.209372712,False,0.285714286,7,20,0,0.873624358,False,False,0.796699607,-0.579567938,1.732050808,False,True
