case_id,center,metric_name,best_case_model,nnunet_dice,mosaic_dice,case_oracle_dice,union_prediction_dice,voxel_tp_oracle_dice,unique_recovery_mosaic_over_nnunet_fraction,unique_recovery_nnunet_over_mosaic_fraction
Case2007,CenterB,pure_edema,nnunet_oof,0.5701357466063348,0.5136444784493751,0.5701357466063348,0.5437725631768953,0.9036370453693289,0.3071135430916553,0.1354309165526676
Case2007,CenterB,lesion_union,mosaic_clean_oof,0.7220942408376964,0.7312165985539139,0.7312165985539139,0.7542822495073518,0.9472682276794213,0.2763110307414105,0.058589511754068714
Case2008,CenterB,scar,mosaic_clean_oof,0.7531584062196307,0.7747178329571106,0.7747178329571106,0.7693574958813838,0.9579487179487179,0.15649606299212598,0.07480314960629922
Case2008,CenterB,pure_edema,nnunet_oof,0.3485546711353163,0.2998538316976404,0.3485546711353163,0.40833176956276973,0.4638669793221062,0.07105190119344991,0.10269220094365807
Case2008,CenterB,lesion_union,nnunet_oof,0.5702576112412178,0.5596801827527127,0.5702576112412178,0.6227848101265823,0.6719378953421506,0.08421736306559861,0.08161939813812513
Case2017,CenterB,scar,mosaic_clean_oof,0.5470588235294118,0.6924019607843137,0.6924019607843137,0.5835169678272367,0.8994565217391305,0.12839506172839507,0.11975308641975309
Case2017,CenterB,pure_edema,nnunet_oof,0.6796246648793566,0.3809687984830202,0.6796246648793566,0.5361034432660178,0.9097633136094675,0.14654002713704206,0.33469018543645407
Case2017,CenterB,lesion_union,nnunet_oof,0.8161448741559238,0.5424458495896677,0.8161448741559238,0.665047982425714,0.9754112260471426,0.07183051969546508,0.2846739490235021
Case2020,CenterB,scar,nnunet_oof,0.4196185286103542,0.0,0.4196185286103542,0.3031496062992126,0.4307692307692308,0.0,0.27450980392156865
Case2020,CenterB,pure_edema,nnunet_oof,0.5630676084762866,0.0,0.5630676084762866,0.4025974025974026,0.7018867924528301,0.0,0.5406976744186046
Case2020,CenterB,lesion_union,nnunet_oof,0.7695139911634757,0.0,0.7695139911634757,0.5517423442449841,0.7922668688400303,0.0,0.6559949780288763
Case2031,CenterB,scar,nnunet_oof,0.8013937282229965,0.4010840108401084,0.8013937282229965,0.8020536223616657,0.8972559029993619,0.015046296296296295,0.5567129629629629
Case2031,CenterB,pure_edema,nnunet_oof,0.29880478087649404,0.26872586872586873,0.29880478087649404,0.29781021897810217,0.7984344422700587,0.4201954397394137,0.09771986970684039
Case2031,CenterB,lesion_union,nnunet_oof,0.8012589928057554,0.7493755203996669,0.8012589928057554,0.7692901234567902,0.9197416974169742,0.09052092228864218,0.08283518360375747
Case2033,CenterB,scar,mosaic_clean_oof,0.7208988764044943,0.7440613026819923,0.7440613026819923,0.7361791462561231,0.9776951672862454,0.22727272727272727,0.07363636363636364
Case2033,CenterB,pure_edema,nnunet_oof,0.523033309709426,0.41424802110817943,0.523033309709426,0.4863325740318907,0.9168008588298443,0.11496531219028741,0.379583746283449
Case2033,CenterB,lesion_union,nnunet_oof,0.7858133544680008,0.726044226044226,0.7858133544680008,0.7102900552486188,0.9875180028804609,0.03508771929824561,0.13466097676623992
Case3004,CenterC,scar,nnunet_oof,0.6247040252565115,0.4814649397052255,0.6247040252565115,0.49539324342368807,0.8873475245156661,0.11693895098882201,0.10232158211521926
Case3004,CenterC,pure_edema,nnunet_oof,0.4530451866404715,0.29746459764266936,0.4530451866404715,0.35832012678288433,0.8063480741797432,0.33104272482820435,0.15147893636092022
Case3004,CenterC,lesion_union,nnunet_oof,0.7493601102579248,0.5741761210156672,0.7493601102579248,0.5819248200479872,0.9805929919137466,0.29102767495152476,0.02520712145249427
Case3011,CenterC,scar,mosaic_clean_oof,0.6389535925461387,0.7138450993831391,0.7138450993831391,0.7325821298206634,0.8494663231505337,0.16794625719769674,0.07197696737044146
Case3011,CenterC,pure_edema,nnunet_oof,0.26666666666666666,0.14535666218034993,0.26666666666666666,0.21674565560821485,0.5664739884393064,0.056451612903225805,0.20852534562211983
Case3011,CenterC,lesion_union,mosaic_clean_oof,0.6503981505265862,0.754122752634842,0.754122752634842,0.7124117053481333,0.8860688885789988,0.16149223835753632,0.03405107661492238
Case3012,CenterC,scar,nnunet_oof,0.8267066766691673,0.0,0.8267066766691673,0.5282837967401726,0.8777379530067703,0.0,0.7821149751596878
Case3012,CenterC,pure_edema,nnunet_oof,0.45068083693125205,0.044233807266982623,0.45068083693125205,0.4156218475284623,0.5211420310805926,0.020772238514173997,0.3250244379276637
Case3012,CenterC,lesion_union,nnunet_oof,0.703188303681522,0.0982192032311364,0.703188303681522,0.5630134241634943,0.7577528089887641,0.03227206946454414,0.532561505065123
Case3023,CenterC,scar,mosaic_clean_oof,0.6612691466083152,0.6629643814630409,0.6629643814630409,0.6453305351521511,0.9761904761904762,0.17260981912144702,0.05891472868217054
Case3023,CenterC,pure_edema,mosaic_clean_oof,0.16291793313069908,0.3463302752293578,0.3463302752293578,0.26533166458072593,0.5878003696857671,0.24083769633507854,0.020942408376963352
Case3023,CenterC,lesion_union,nnunet_oof,0.7185840707964601,0.7166236003445305,0.7185840707964601,0.6651649662117398,0.9637166442695335,0.1026306039273805,0.005187106335679882
Case3026,CenterC,scar,nnunet_oof,0.8081740276862228,0.7356146469049695,0.8081740276862228,0.7780339551456718,0.9205207687538748,0.14863312657937056,0.07741787273144958
Case3026,CenterC,pure_edema,nnunet_oof,0.21919504643962848,0.18880820162323794,0.21919504643962848,0.2161071363052651,0.4873810508895325,0.12855579868708972,0.08041575492341356
Case3026,CenterC,lesion_union,mosaic_clean_oof,0.7924179380490061,0.7943426179823928,0.7943426179823928,0.8036818437324339,0.9611764705882353,0.23200129428895,0.0347840155314674
Case3034,CenterC,scar,nnunet_oof,0.8293831423638361,0.731317890328491,0.8293831423638361,0.7181575264028502,0.9992917847025495,0.06369426751592357,0.009907997169143666
Case3034,CenterC,pure_edema,nnunet_oof,0.6546035125066525,0.5360406091370559,0.6546035125066525,0.5763809523809523,0.8521543227259927,0.13886162904808635,0.09470068694798822
Case3034,CenterC,lesion_union,nnunet_oof,0.8200217198143943,0.7357950023873946,0.8200217198143943,0.7347196963706808,0.9770767613038907,0.10135690789473684,0.0047286184210526315
Case3038,CenterC,scar,nnunet_oof,0.75830144426614,0.4462874579453877,0.75830144426614,0.7456758488148623,0.8583495340886237,0.030416911332941866,0.4169113329418673
Case3038,CenterC,pure_edema,nnunet_oof,0.16778761061946904,0.026456918126564175,0.16778761061946904,0.10709382151029748,0.5391705069124424,0.07003154574132492,0.29905362776025235
Case3038,CenterC,lesion_union,nnunet_oof,0.7429068277503204,0.6878896655960702,0.7429068277503204,0.7168582849136688,0.9254175976167678,0.05752475247524753,0.1401980198019802
Case3040,CenterC,scar,mosaic_clean_oof,0.8691367757193535,0.896551724137931,0.896551724137931,0.8990393329708175,0.9404626469472885,0.0984251968503937,0.0082319255547602
Case3040,CenterC,pure_edema,nnunet_oof,0.24913093858632676,0.20700808625336928,0.24913093858632676,0.21711057304277642,0.9072512647554806,0.16666666666666666,0.23765432098765432
Case3040,CenterC,lesion_union,nnunet_oof,0.8685294117647059,0.8121592148309705,0.8685294117647059,0.8043793694763224,0.9888114155991568,0.030788967286722257,0.02245028864656831
Case3044,CenterC,scar,nnunet_oof,0.7844537386514332,0.7438051238975221,0.7844537386514332,0.8175524134568504,0.8406698084829038,0.06002421726344923,0.11243729458571182
